postac_a,postac_b,sila_relacji
DONKEY,SHREK,28
DONKEY,PUSS,25
PUSS,SHREK,22
ARTIE,DONKEY,17
ARTIE,SHREK,17
DONKEY,FIONA,16
FIONA,SHREK,15
FIONA,PUSS,14
FIONA,SNOW WHITE,13
ARTIE,PUSS,13
FIONA,PIG #1,12
CYCLOPS,PRINCE CHARMING,11
PIG #1,PUSS,10
FIONA,GINGERBREAD MAN,10
GINGERBREAD MAN,PIG #1,10
FIONA,PRINCE CHARMING,10
DONKEY,PIG #1,10
GINGERBREAD MAN,SNOW WHITE,10
DORIS,FIONA,9
PIG #1,SNOW WHITE,9
PIG #1,PRINCE CHARMING,9
CYCLOPS,FIONA,9
DORIS,SNOW WHITE,9
PIG #1,SHREK,9
CAPTAIN HOOK,PRINCE CHARMING,9
FIONA,QUEEN,9
FIONA,RAPUNZEL,9
CYCLOPS,PIG #1,9
CYCLOPS,SHREK,8
ARTIE,PIG #1,8
DONKEY,PINOCCHIO,8
CYCLOPS,SNOW WHITE,8
PUSS,SHIP CAPTAIN,8
ARTIE,PINOCCHIO,8
SHIP CAPTAIN,SHREK,8
PRINCE CHARMING,RUMPLESTILTSKIN,8
CAPTAIN HOOK,PIG #1,8
CINDERELLA,FIONA,8
CAPTAIN HOOK,FIONA,8
PIG #1,PINOCCHIO,8
PRINCE CHARMING,SHREK,8
CYCLOPS,GINGERBREAD MAN,8
DONKEY,SHIP CAPTAIN,8
CAPTAIN HOOK,CYCLOPS,8
GINGERBREAD MAN,PINOCCHIO,8
GINGERBREAD MAN,PRINCE CHARMING,8
PIG #1,WOLF,8
PINOCCHIO,PUSS,8
PINOCCHIO,WOLF,8
GINGERBREAD MAN,PUSS,7
PUSS,SNOW WHITE,7
PUSS,RUMPLESTILTSKIN,7
PINOCCHIO,PRINCE CHARMING,7
ARTIE,MERLIN,7
DONKEY,GINGERBREAD MAN,7
ARTIE,PRINCE CHARMING,7
ARTIE,FIONA,7
DONKEY,SNOW WHITE,7
SLEEPING BEAUTY,SNOW WHITE,7
DONKEY,MERLIN,7
DONKEY,DORIS,7
CYCLOPS,RUMPLESTILTSKIN,7
PRINCE CHARMING,SNOW WHITE,7
DONKEY,WOLF,7
CINDERELLA,SNOW WHITE,7
MERLIN,SHREK,7
PIG #1,RAPUNZEL,7
DORIS,PUSS,7
QUEEN,SNOW WHITE,7
FIONA,PIG #2,7
GINGERBREAD MAN,WOLF,7
PUSS,WOLF,7
FIONA,RUMPLESTILTSKIN,7
PIG #2,SNOW WHITE,7
FIONA,WOLF,7
FIONA,PINOCCHIO,7
CAPTAIN HOOK,EVIL QUEEN,7
EVIL QUEEN,PRINCE CHARMING,7
CAPTAIN HOOK,DONKEY,7
LANCELOT,SHREK,7
EVIL QUEEN,RUMPLESTILTSKIN,7
FIONA,SLEEPING BEAUTY,7
GINGERBREAD MAN,PIG #2,7
PINOCCHIO,SHREK,7
DORIS,PIG #1,7
GUINEVERRE,SHREK,7
MABEL,PRINCE CHARMING,7
CINDERELLA,SLEEPING BEAUTY,7
DORIS,GINGERBREAD MAN,7
CYCLOPS,DONKEY,7
CYCLOPS,MABEL,7
ARTIE,WOLF,7
DONKEY,RUMPLESTILTSKIN,7
DONKEY,PRINCE CHARMING,7
ARTIE,GINGERBREAD MAN,7
CYCLOPS,PUSS,7
CAPTAIN HOOK,SHREK,7
DORIS,SLEEPING BEAUTY,7
CINDERELLA,DORIS,7
DORIS,RAPUNZEL,7
RAPUNZEL,SNOW WHITE,7
PIG #1,PIG #2,7
CAPTAIN HOOK,RUMPLESTILTSKIN,7
CINDERELLA,RAPUNZEL,7
RUMPLESTILTSKIN,SHREK,7
CAPTAIN HOOK,PUSS,7
PRINCE CHARMING,RAPUNZEL,7
PRINCE CHARMING,PUSS,7
MABEL,RUMPLESTILTSKIN,7
PIG #1,RUMPLESTILTSKIN,7
PUSS,QUEEN,6
GINGERBREAD MAN,RAPUNZEL,6
PUSS,RAPUNZEL,6
FIONA,SHIP CAPTAIN,6
CAPTAIN HOOK,MABEL,6
SNOW WHITE,WOLF,6
JOCKS,KNIGHT,6
JOCKS,LANCELOT,6
DRAGON,RAPUNZEL,6
CAPTAIN HOOK,PIG #2,6
ANNOUNCER,EVIL KNIGHT #1,6
EVIL QUEEN,SHREK,6
FIONA,PRINCESSES,6
EVIL QUEEN,PUSS,6
KNIGHT,LANCELOT,6
GINGERBREAD MAN,SHREK,6
PINOCCHIO,SNOW WHITE,6
JOCKS,SHREK,6
OGRE,OGRE BABY,6
GUINEVERRE,LANCELOT,6
PIG #1,SHIP CAPTAIN,6
PIG #2,PRINCE CHARMING,6
CAPTAIN HOOK,SNOW WHITE,6
RAPUNZEL,SHREK,6
CAPTAIN HOOK,GINGERBREAD MAN,6
CAPTAIN HOOK,QUEEN,6
RAPUNZEL,RUMPLESTILTSKIN,6
FIONA,MABEL,6
PRINCE CHARMING,QUEEN,6
OGRE,SHREK,6
